epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.79,1.72312,2.67115,1.3733,0.0119,0.53446,0.24607,0.14887,1.34935,3.24457,1.08244,0.000465256,0.000465256,0.000465256
2,95.8845,1.34808,1.43501,1.09636,0.90071,0.17943,0.30608,0.197,1.2922,2.65747,1.08079,0.000910517,0.000910517,0.000910517
3,146.405,1.30529,1.2413,1.06909,0.53834,0.46891,0.49888,0.29743,1.2939,1.73351,1.09006,0.00132434,0.00132434,0.00132434
4,181.323,1.27084,1.12751,1.0577,0.64534,0.55874,0.59113,0.37483,1.21158,1.28731,1.05292,0.00128753,0.00128753,0.00128753
5,210.917,1.20246,1.0466,1.04659,0.72617,0.56531,0.60441,0.38698,1.18496,1.18757,1.04568,0.00124037,0.00124037,0.00124037
6,258.052,1.20465,0.97603,1.03349,0.69479,0.55656,0.58233,0.37074,1.14596,1.18565,1.02449,0.00119322,0.00119322,0.00119322
7,307.093,1.15689,0.92074,1.01568,0.75003,0.62348,0.67418,0.42529,1.14562,1.01038,1.02092,0.00114606,0.00114606,0.00114606
8,352.596,1.15761,0.8876,1.02612,0.64378,0.60595,0.63847,0.40223,1.16501,1.08641,1.0551,0.0010989,0.0010989,0.0010989
9,400.009,1.13378,0.83994,1.01012,0.813,0.64992,0.70284,0.45028,1.13758,0.93704,1.02413,0.00105174,0.00105174,0.00105174
10,429.541,1.15509,0.84629,1.00921,0.73833,0.62513,0.68094,0.43485,1.13683,0.89891,1.03025,0.00100459,0.00100459,0.00100459
11,454.654,1.13802,0.79949,1.00393,0.84755,0.64413,0.70512,0.4498,1.14523,0.88521,1.0371,0.00095743,0.00095743,0.00095743
12,480.392,1.1442,0.78265,1.01703,0.92241,0.65671,0.77545,0.49479,1.1474,0.80066,1.04944,0.000910273,0.000910273,0.000910273
13,505.736,1.11225,0.75128,1.00195,0.82545,0.64046,0.70808,0.44724,1.12666,0.81698,1.02274,0.000863116,0.000863116,0.000863116
14,530.772,1.11334,0.73926,0.99024,0.79765,0.6219,0.70131,0.44571,1.1285,0.82217,1.01262,0.000815959,0.000815959,0.000815959
15,555.563,1.08867,0.70865,0.97691,0.83369,0.66197,0.74163,0.47415,1.11642,0.74026,1.00518,0.000768802,0.000768802,0.000768802
16,583.859,1.07565,0.67387,0.98566,0.84317,0.70102,0.77329,0.50244,1.08836,0.71038,1.01697,0.000721645,0.000721645,0.000721645
17,615.394,1.05802,0.67132,0.98419,0.7872,0.6845,0.75626,0.49727,1.08477,0.71521,1.0128,0.000674488,0.000674488,0.000674488
18,648.798,1.0602,0.6784,0.98399,0.76369,0.66242,0.70768,0.46534,1.06187,0.7629,1.00474,0.000627331,0.000627331,0.000627331
19,724.327,1.05019,0.64736,0.96984,0.87426,0.66066,0.74352,0.48909,1.06784,0.70444,1.00357,0.000580174,0.000580174,0.000580174
20,802.675,1.0673,0.63547,0.9666,0.80288,0.71204,0.78085,0.50134,1.11246,0.68167,1.01455,0.000533017,0.000533017,0.000533017
21,895.648,1.00746,0.6196,0.95679,0.85107,0.68898,0.7925,0.51028,1.09886,0.7075,1.01509,0.00048586,0.00048586,0.00048586
22,960.59,1.01104,0.60405,0.96265,0.90717,0.67925,0.78464,0.51496,1.08272,0.65387,1.01034,0.000438703,0.000438703,0.000438703
23,1028.95,1.00368,0.59205,0.95704,0.81813,0.70047,0.76473,0.49159,1.07803,0.6779,1.00366,0.000391546,0.000391546,0.000391546
24,1077.79,0.99544,0.57262,0.95389,0.86179,0.6916,0.79384,0.50061,1.13327,0.68695,1.0178,0.000344389,0.000344389,0.000344389
25,1129.85,0.98206,0.5669,0.94447,0.83996,0.70977,0.7995,0.51151,1.09165,0.65376,1.00719,0.000297232,0.000297232,0.000297232
26,1166.28,0.96867,0.55298,0.94883,0.82711,0.73503,0.80436,0.51585,1.08155,0.63417,1.00287,0.000250075,0.000250075,0.000250075
27,1221.25,0.96159,0.53973,0.94229,0.86379,0.71503,0.81041,0.53466,1.0459,0.61708,0.98645,0.000202918,0.000202918,0.000202918
28,1277.07,0.95378,0.54219,0.93996,0.91247,0.6852,0.81089,0.53196,1.04195,0.61301,0.98918,0.000155761,0.000155761,0.000155761
29,1334.23,0.94251,0.52072,0.9257,0.87169,0.73119,0.81164,0.5341,1.04202,0.61141,0.99145,0.000108604,0.000108604,0.000108604
30,1392.84,0.93852,0.5164,0.92018,0.87958,0.72115,0.8144,0.53913,1.03786,0.6099,0.9843,6.1447e-05,6.1447e-05,6.1447e-05
